Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;
129513176;10.10.2022 8:58;sell;0.20;gbpjpy;160.774;161.194;131.574;10.10.2022 10:11;161.194;-1,40;0,00;0,00;-57,83;
129513227;10.10.2022 2:31;buy;0.54;usdjpy;145.441;145.287;156.929;10.10.2022 9:46;145.287;-3,78;0,00;0,00;-57,24;
129513250;10.10.2022 8:58;sell;0.20;gbpjpy;160.774;161.194;131.574;10.10.2022 10:11;161.194;-1,40;0,00;0,00;-57,83;
129513263;10.10.2022 8:58;sell;0.36;nzdjpy;81.302;81.262;65.686;10.10.2022 21:00;81.078;-2,52;0,00;0,00;55,35;
129513580;10.10.2022 15:29;buy;0.48;cadjpy;106.153;105.980;123.017;10.10.2022 16:32;105.980;-3,36;0,00;0,00;-57,05;
129513586;10.10.2022 15:29;buy;0.48;cadjpy;106.153;105.980;123.017;10.10.2022 16:32;105.980;-3,36;0,00;0,00;-57,05;
129514005;10.10.2022 15:29;buy;0.51;cadjpy;106.153;105.990;123.017;10.10.2022 16:32;105.990;-3,57;0,00;0,00;-57,11;
129514105;10.10.2022 15:29;buy;0.51;cadjpy;106.153;105.990;123.017;10.10.2022 16:32;105.990;-3,57;0,00;0,00;-57,11;
129561276;10.10.2022 8:58;sell;0.21;gbpjpy;160.774;161.179;131.574;10.10.2022 10:11;161.179;-1,47;0,00;0,00;-58,56;
129561278;10.10.2022 8:58;sell;0.21;gbpjpy;160.774;161.179;131.574;10.10.2022 10:11;161.179;-1,47;0,00;0,00;-58,56;
129685555;10.10.2022 17:37;buy;0.51;usdjpy;145.667;145.688;160.771;10.10.2022 20:49;145.688;-3,57;0,00;0,00;7,35;
129685583;10.10.2022 17:37;buy;0.51;usdjpy;145.667;145.505;160.771;10.10.2022 22:00;145.685;-3,57;0,00;0,00;6,30;
129703607;10.10.2022 11:13;sell;0.18;gbpjpy;160.737;161.174;130.945;10.10.2022 12:02;161.174;-1,26;0,00;0,00;-54,07;
129703651;10.10.2022 11:13;sell;0.18;gbpjpy;160.737;161.174;130.945;10.10.2022 12:02;161.174;-1,26;0,00;0,00;-54,07;
130181707;11.10.2022 3:48;buy;0.23;gbpjpy;161.563;161.233;179.147;11.10.2022 4:40;161.233;-1,61;0,00;0,00;-52,08;
130181726;11.10.2022 15:34;buy;0.40;nzdjpy;81.851;81.660;98.075;11.10.2022 16:01;81.660;-2,80;0,00;0,00;-52,46;
130181762;11.10.2022 15:34;buy;0.40;nzdjpy;81.851;81.660;98.075;11.10.2022 16:01;81.660;-2,80;0,00;0,00;-52,46;
130181772;11.10.2022 9:11;sell;0.23;gbpjpy;160.464;160.794;142.880;11.10.2022 10:16;160.794;-1,61;0,00;0,00;-52,13;
130181804;11.10.2022 20:52;buy;0.56;cadjpy;106.101;105.936;122.069;11.10.2022 21:44;105.936;-3,92;0,00;0,00;-63,40;
130181806;11.10.2022 3:48;buy;0.23;gbpjpy;161.563;161.233;179.147;11.10.2022 4:40;161.233;-1,61;0,00;0,00;-52,08;
130181810;11.10.2022 14:02;buy;0.38;nzdjpy;81.504;81.642;94.480;11.10.2022 21:00;82.042;-2,66;0,00;0,00;140,36;
130181826;11.10.2022 3:05;sell;0.56;cadjpy;105.660;105.799;97.036;11.10.2022 3:54;105.799;-3,92;0,00;0,00;-53,42;
130181827;11.10.2022 9:11;sell;0.23;gbpjpy;160.464;160.794;142.880;11.10.2022 10:16;160.794;-1,61;0,00;0,00;-52,13;
130181832;11.10.2022 5:12;sell;0.38;nzdjpy;80.837;81.040;64.613;11.10.2022 9:00;81.040;-2,66;0,00;0,00;-52,93;
130181856;11.10.2022 20:52;buy;0.56;cadjpy;106.101;105.936;122.069;11.10.2022 21:44;105.936;-3,92;0,00;0,00;-63,40;
130181857;11.10.2022 3:48;buy;0.22;gbpjpy;161.563;161.213;179.147;11.10.2022 4:40;161.213;-1,54;0,00;0,00;-52,84;
130181859;11.10.2022 14:02;buy;0.38;nzdjpy;81.504;81.541;94.480;11.10.2022 16:51;81.541;-2,66;0,00;0,00;9,65;
130181879;11.10.2022 3:05;sell;0.56;cadjpy;105.660;105.799;97.036;11.10.2022 3:54;105.799;-3,92;0,00;0,00;-53,42;
130181881;11.10.2022 9:11;sell;0.22;gbpjpy;160.464;160.814;142.880;11.10.2022 10:32;160.814;-1,54;0,00;0,00;-52,87;
130181882;11.10.2022 5:12;sell;0.38;nzdjpy;80.837;81.040;64.613;11.10.2022 9:00;81.040;-2,66;0,00;0,00;-52,93;
130181904;11.10.2022 3:48;buy;0.22;gbpjpy;161.563;161.213;179.147;11.10.2022 4:40;161.213;-1,54;0,00;0,00;-52,84;
130181913;11.10.2022 9:11;sell;0.22;gbpjpy;160.464;160.814;142.880;11.10.2022 10:32;160.814;-1,54;0,00;0,00;-52,87;
130182158;11.10.2022 7:30;buy;0.58;usdjpy;145.803;145.670;154.907;11.10.2022 9:31;145.670;-4,06;0,00;0,00;-52,96;
130182184;11.10.2022 19:46;sell;0.58;usdjpy;145.443;145.586;138.739;11.10.2022 20:02;145.586;-4,06;0,00;0,00;-56,97;
130182192;11.10.2022 7:30;buy;0.58;usdjpy;145.803;145.670;154.907;11.10.2022 9:31;145.670;-4,06;0,00;0,00;-52,96;
130182201;11.10.2022 19:46;sell;0.58;usdjpy;145.443;145.586;138.739;11.10.2022 20:02;145.586;-4,06;0,00;0,00;-56,97;
130182587;11.10.2022 19:15;buy;0.41;chfjpy;146.482;146.296;161.026;11.10.2022 21:00;146.675;-2,87;0,00;0,00;54,33;
130182589;11.10.2022 19:15;buy;0.41;chfjpy;146.482;146.296;161.026;11.10.2022 21:00;146.675;-2,87;0,00;0,00;54,33;
130182591;11.10.2022 14:17;buy;0.39;chfjpy;146.119;145.906;157.031;11.10.2022 16:51;145.906;-2,73;0,00;0,00;-57,02;
130182592;11.10.2022 5:07;sell;0.39;chfjpy;145.573;145.538;131.029;11.10.2022 9:32;145.538;-2,73;0,00;0,00;9,37;
130182593;11.10.2022 14:17;buy;0.39;chfjpy;146.119;145.906;157.031;11.10.2022 16:51;145.906;-2,73;0,00;0,00;-57,02;
130182598;11.10.2022 5:07;sell;0.39;chfjpy;145.573;145.770;131.029;11.10.2022 10:35;145.770;-2,73;0,00;0,00;-52,78;
