Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;;;;
1520515400;2023.03.03 15:32:00;sell;0.02;audcad;0.91880;0.00000;0.00000;2023.03.06 12:13:20;0.91610;0.00;0.00;0.02;3.97;;;;
1520512835;2023.03.03 15:41:59;sell;0.02;usdjpy;135.987;136.212;118.343;2023.03.03 17:00:00;136.228;0.00;0.00;0.00;-3.54;;;;
1520518696;2023.03.03 16:01:33;sell;0.02;audcad;0.92080;0.00000;0.00000;2023.03.06 12:13:20;0.91610;0.00;0.00;0.02;6.91;;;;
1520524288;2023.03.03 17:00:00;sell;0.01;eurcad;1.44518;0.00000;0.00000;2023.03.03 17:50:55;1.44371;0.00;0.00;0.00;1.08;;;;
1520524368;2023.03.03 17:00:01;sell stop;0.02;usdjpy;135.805;136.031;115.181;2023.03.03 20:59:08;136.004;cancelled;;;;;;;
1520524545;2023.03.03 17:00:04;sell stop;0.02;usdjpy;135.805;136.031;115.181;2023.03.03 20:59:08;136.004;cancelled;;;;;;;
1520550523;2023.03.03 23:00:00;sell;0.01;gbpusd;1.20433;0.00000;0.00000;2023.03.06 01:59:11;1.20282;0.00;0.00;0.00;1.51;;;;
1520550775;2023.03.03 23:15:00;sell;0.01;xauusd;1854.29;0.00;0.00;2023.03.06 01:47:29;1852.81;0.00;0.00;0.10;1.48;;;;
1520553389;2023.03.06 01:03:03;buy stop;0.04;usdjpy;136.768;136.619;153.168;2023.03.06 20:59:01;136.071;cancelled;;;;;;;
1520553394;2023.03.06 01:03:04;buy stop;0.04;usdjpy;136.418;136.239;153.330;2023.03.06 20:59:01;136.071;cancelled;;;;;;;
1520553392;2023.03.06 01:03:04;buy stop;0.04;usdjpy;136.768;136.619;153.168;2023.03.06 20:59:01;136.071;cancelled;;;;;;;
1520553406;2023.03.06 01:03:07;buy stop;0.04;usdjpy;136.418;136.239;153.330;2023.03.06 20:59:01;136.071;cancelled;;;;;;;
1520553409;2023.03.06 03:05:36;sell;0.04;usdjpy;135.741;135.714;118.399;2023.03.06 07:39:19;135.715;0.00;0.00;0.00;0.77;;;;
1520553398;2023.03.06 03:05:36;sell;0.04;usdjpy;135.741;135.723;118.399;2023.03.06 07:39:21;135.723;0.00;0.00;0.00;0.53;;;;
1520558909;2023.03.06 04:15:00;sell;0.01;euraud;1.57439;0.00000;0.00000;2023.03.06 05:24:23;1.57289;0.00;0.00;0.00;1.02;;;;
1520565632;2023.03.06 07:39:19;sell stop;0.03;usdjpy;135.361;135.536;113.681;2023.03.06 20:59:01;136.062;cancelled;;;;;;;
1520565636;2023.03.06 07:39:21;sell stop;0.03;usdjpy;135.361;135.536;113.681;2023.03.06 20:59:01;136.062;cancelled;;;;;;;
1520565759;2023.03.06 07:45:03;sell;0.01;eurcad;1.44734;0.00000;0.00000;2023.03.06 12:59:02;1.44584;0.00;0.00;0.00;1.10;;;;
1520583922;2023.03.06 12:00:19;balance;rollover;;;;;;;;;;100.00;;;;
1520584766;2023.03.06 12:13:19;buy;0.01;audcad;0.91610;0.00000;0.00000;2023.03.06 16:35:57;0.91760;0.00;0.00;0.00;1.10;;;;
1520589303;2023.03.06 13:15:00;sell;0.01;euraud;1.58025;0.00000;0.00000;2023.03.06 15:29:11;1.58013;0.00;0.00;0.00;0.08;;;;
1520591369;2023.03.06 13:45:01;sell;0.02;euraud;1.58229;0.00000;0.00000;2023.03.06 15:29:11;1.58013;0.00;0.00;0.00;2.91;;;;
1520595456;2023.03.06 14:30:00;buy;0.01;gbpusd;1.20058;0.00000;0.00000;2023.03.06 15:22:59;1.20209;0.00;0.00;0.00;1.51;;;;
1520620138;2023.03.06 18:30:00;sell;0.01;eurcad;1.45392;0.00000;0.00000;2023.03.07 12:06:00;1.45238;0.00;0.00;0.04;1.13;;;;
1520623709;2023.03.06 19:15:00;sell;0.01;euraud;1.58609;0.00000;0.00000;2023.03.07 04:04:32;1.58592;0.00;0.00;0.00;0.12;;;;
1520632918;2023.03.06 21:59:18;sell;0.02;euraud;1.58810;0.00000;0.00000;2023.03.07 04:04:32;1.58592;0.00;0.00;0.01;2.94;;;;
1520633365;2023.03.06 22:15:00;buy;0.01;audcad;0.91592;0.00000;0.00000;2023.03.07 04:08:27;0.91747;0.00;0.00;-0.04;1.14;;;;
1520633363;2023.03.06 22:15:00;buy;0.01;xauusd;1846.66;0.00;0.00;2023.03.07 04:04:29;1848.48;0.00;0.00;-0.30;1.82;;;;
1520636417;2023.03.07 01:01:22;sell stop;0.05;usdjpy;135.361;135.513;122.129;2023.03.07 20:59:00;137.016;cancelled;;;;;;;
1520636420;2023.03.07 01:01:23;sell stop;0.05;usdjpy;135.361;135.513;122.129;2023.03.07 20:59:00;137.017;cancelled;;;;;;;
1520636426;2023.03.07 01:01:24;sell stop;0.04;usdjpy;135.539;135.718;125.155;2023.03.07 20:59:00;137.018;cancelled;;;;;;;
1520636434;2023.03.07 01:01:25;sell stop;0.04;usdjpy;135.539;135.718;125.155;2023.03.07 20:59:00;137.017;cancelled;;;;;;;
1520640601;2023.03.07 05:30:00;sell;0.01;audcad;0.91722;0.00000;0.00000;2023.03.07 05:30:40;0.91549;0.00;0.00;0.00;1.27;;;;
1520640605;2023.03.07 05:30:01;buy;0.01;euraud;1.58534;0.00000;0.00000;2023.03.07 05:30:35;1.58707;0.00;0.00;0.00;1.16;;;;
1520643200;2023.03.07 07:15:12;sell;0.01;gbpusd;1.20437;0.00000;0.00000;2023.03.07 10:02:00;1.20423;0.00;0.00;0.00;0.14;;;;
1520649057;2023.03.07 09:25:02;sell;0.02;gbpusd;1.20641;0.00000;0.00000;2023.03.07 10:02:00;1.20424;0.00;0.00;0.00;4.34;;;;
1520665185;2023.03.07 12:00:18;balance;rollover;;;;;;;;;;-102.65;;;;
1520669916;2023.03.07 13:15:00;buy;0.01;audcad;0.90989;0.00000;0.00000;2023.03.08 16:17:09;0.90908;0.00;0.00;-0.04;-0.58;;;;
1520670581;2023.03.07 13:30:00;sell;0.01;euraud;1.59848;0.00000;0.00000;2023.03.08 03:17:52;1.59938;0.00;0.00;0.00;-0.60;;;;
1520636499;2023.03.07 14:28:51;buy;0.05;usdjpy;136.191;136.699;149.420;2023.03.07 17:14:04;136.697;0.00;0.00;0.00;18.51;;;;
1520636430;2023.03.07 14:28:51;buy;0.04;usdjpy;136.191;136.697;149.420;2023.03.07 17:14:04;136.697;0.00;0.00;0.00;14.81;;;;
1520636424;2023.03.07 14:28:51;buy;0.04;usdjpy;136.191;136.749;149.420;2023.03.07 17:22:41;136.748;0.00;0.00;0.00;16.29;;;;
1520636503;2023.03.07 14:28:51;buy;0.05;usdjpy;136.191;136.677;149.420;2023.03.07 17:33:16;136.676;0.00;0.00;0.00;17.74;;;;
1520677691;2023.03.07 14:53:15;sell;0.02;euraud;1.60048;0.00000;0.00000;2023.03.08 03:17:53;1.59938;0.00;0.00;0.01;1.45;;;;
1520678482;2023.03.07 15:00:00;buy;0.01;gbpusd;1.19979;0.00000;0.00000;2023.03.08 09:41:08;1.18324;0.00;0.00;-0.04;-16.55;;;;
1520683816;2023.03.07 15:55:01;buy;0.02;gbpusd;1.19775;0.00000;0.00000;2023.03.08 11:15:28;1.18414;0.00;0.00;-0.09;-27.22;;;;
1520691062;2023.03.07 17:00:29;buy;0.02;gbpusd;1.19585;0.00000;0.00000;2023.03.09 07:38:34;1.18606;0.00;0.00;-0.35;-19.58;;;;
1520692423;2023.03.07 17:03:15;buy;0.02;audcad;0.90791;0.00000;0.00000;2023.03.08 16:17:09;0.90907;0.00;0.00;-0.07;1.69;;;;
1520692655;2023.03.07 17:03:48;sell;0.02;euraud;1.60248;0.00000;0.00000;2023.03.08 03:17:53;1.59942;0.00;0.00;0.01;4.04;;;;
1520695927;2023.03.07 17:15:00;buy;0.03;gbpusd;1.18902;0.00000;0.00000;2023.03.09 07:38:32;1.18606;0.00;0.00;-0.52;-8.88;;;;
1520703144;2023.03.07 17:53:15;buy;0.05;gbpusd;1.18702;0.00000;0.00000;2023.03.09 07:38:31;1.18606;0.00;0.00;-0.87;-4.80;;;;
1520704351;2023.03.07 18:25:18;buy;0.03;usdjpy;136.907;136.704;158.761;2023.03.07 19:20:32;136.704;0.00;0.00;0.00;-4.45;;;;
1520704447;2023.03.07 18:25:18;buy;0.03;usdjpy;136.907;136.704;158.761;2023.03.07 19:20:32;136.704;0.00;0.00;0.00;-4.45;;;;
1520708088;2023.03.07 18:30:00;buy;0.01;xauusd;1818.34;0.00;0.00;2023.03.07 18:37:21;1819.82;0.00;0.00;0.00;1.48;;;;
1520714163;2023.03.07 19:54:45;buy;0.08;gbpusd;1.18462;0.00000;0.00000;2023.03.09 07:38:30;1.18606;0.00;0.00;-1.39;11.52;;;;
1520711824;2023.03.07 20:20:09;buy;0.03;usdjpy;136.953;136.751;159.577;2023.03.07 21:12:10;137.052;0.00;0.00;0.00;2.17;;;;
1520711821;2023.03.07 20:20:09;buy;0.03;usdjpy;136.953;136.751;159.577;2023.03.07 21:12:09;137.052;0.00;0.00;0.00;2.17;;;;
1520717745;2023.03.07 20:43:04;buy;0.02;audcad;0.90591;0.00000;0.00000;2023.03.08 16:17:09;0.90907;0.00;0.00;-0.07;4.59;;;;
1520717836;2023.03.07 20:45:00;buy;0.01;xauusd;1815.01;0.00;0.00;2023.03.08 08:57:13;1813.78;0.00;0.00;-0.30;-1.23;;;;
1520725635;2023.03.08 00:15:00;buy;0.01;eurcad;1.45102;0.00000;0.00000;2023.03.08 15:28:38;1.45120;0.00;0.00;0.00;0.13;;;;
1520726376;2023.03.08 01:01:00;sell stop;0.04;usdjpy;135.539;135.706;109.059;2023.03.08 20:59:04;137.254;cancelled;;;;;;;
1520726391;2023.03.08 01:01:01;sell stop;0.04;usdjpy;136.175;136.392;108.415;2023.03.08 20:59:04;137.256;cancelled;;;;;;;
1520726382;2023.03.08 01:01:01;sell stop;0.04;usdjpy;135.539;135.706;109.059;2023.03.08 20:59:04;137.254;cancelled;;;;;;;
1520726395;2023.03.08 01:01:02;sell stop;0.04;usdjpy;136.175;136.392;108.415;2023.03.08 20:59:05;137.256;cancelled;;;;;;;
1520727676;2023.03.08 03:05:10;buy;0.02;xauusd;1812.54;0.00;0.00;2023.03.08 08:57:14;1813.67;0.00;0.00;0.00;2.26;;;;
1520728910;2023.03.08 04:53:54;buy;0.11;gbpusd;1.18173;0.00000;0.00000;2023.03.08 09:41:08;1.18324;0.00;0.00;0.00;16.61;;;;
1520727582;2023.03.08 04:54:25;buy;0.04;usdjpy;137.494;137.760;168.740;2023.03.08 07:47:53;137.760;0.00;0.00;0.00;7.72;;;;
1520727611;2023.03.08 04:54:25;buy;0.04;usdjpy;137.494;137.709;168.740;2023.03.08 07:58:09;137.707;0.00;0.00;0.00;6.19;;;;
